birth_region_standardized,employment_rate,median_income,self_sufficiency_rate,welfare_amount_avg
Africa,65.17,194.6916666666667,754912.0833333334,9434.200694759687
Asia,65.17,215.29999999999998,754912.0833333334,9434.200694759687
EU/EFTA (excl. Nordic),65.17,297.9583333333333,754912.0833333334,9434.200694759687
Europe (excl. EU/EFTA),65.17,294.59999999999997,754912.0833333334,9434.200694759687
Foreign Born (Total),65.17,260.025,754912.0833333334,9434.200694759687
Nordic (excl. Sweden),65.17,350.93333333333334,754912.0833333334,9434.200694759687
North America,65.17,294.97499999999997,754912.0833333334,9434.200694759687
Oceania,65.17,335.09166666666664,754912.0833333334,9434.200694759687
Other,66.11250000000001,308.325,916300.75,81.99515873015874
South America,65.17,297.0083333333333,754912.0833333334,9434.200694759687
Sweden,77.86,354.9166666666667,3392768.9166666665,7413.813425552811
"foreign born, Europe",65.17,260.025,359239.0,9434.200694759687
"foreign born, excl. Europe",65.17,260.025,395672.5833333333,9434.200694759687
